Projection # 1 - Tilt angle: 30.13
Radius	s(1/A)	Res(A)	NLOO2D
138	0.00138	  725.530	  0.9815
139	0.00139	  720.311	  0.9785
140	0.00140	  715.166	  0.9744
141	0.00141	  710.094	  0.9731
142	0.00142	  705.093	  0.9760
143	0.00143	  700.162	  0.9778
144	0.00144	  695.300	  0.9758
145	0.00145	  690.505	  0.9749
146	0.00146	  685.775	  0.9724
147	0.00147	  681.110	  0.9670
148	0.00148	  676.508	  0.9681
149	0.00149	  671.968	  0.9679
150	0.00150	  667.488	  0.9641
151	0.00151	  663.068	  0.9649
152	0.00152	  658.705	  0.9667
153	0.00153	  654.400	  0.9662
154	0.00154	  650.151	  0.9655
155	0.00155	  645.956	  0.9657
156	0.00156	  641.815	  0.9620
157	0.00157	  637.727	  0.9593
158	0.00158	  633.691	  0.9604
159	0.00159	  629.706	  0.9566
160	0.00160	  625.770	  0.9533
161	0.00161	  621.883	  0.9550
162	0.00162	  618.044	  0.9543
163	0.00163	  614.253	  0.9549
164	0.00164	  610.507	  0.9569
165	0.00165	  606.807	  0.9552
166	0.00166	  603.152	  0.9560
167	0.00167	  599.540	  0.9555
168	0.00168	  595.971	  0.9491
169	0.00169	  592.445	  0.9461
170	0.00170	  588.960	  0.9425
171	0.00171	  585.516	  0.9428
172	0.00172	  582.112	  0.9469
173	0.00173	  578.747	  0.9459
174	0.00174	  575.421	  0.9415
175	0.00175	  572.133	  0.9386
176	0.00176	  568.882	  0.9351
177	0.00177	  565.668	  0.9323
178	0.00178	  562.490	  0.9346
179	0.00179	  559.347	  0.9349
180	0.00180	  556.240	  0.9329
181	0.00181	  553.167	  0.9310
182	0.00182	  550.128	  0.9286
183	0.00183	  547.121	  0.9251
184	0.00184	  544.148	  0.9235
185	0.00185	  541.207	  0.9182
186	0.00186	  538.297	  0.9179
187	0.00187	  535.418	  0.9132
188	0.00188	  532.570	  0.9035
189	0.00189	  529.752	  0.9074
190	0.00190	  526.964	  0.9106
191	0.00191	  524.205	  0.9056
192	0.00192	  521.475	  0.9013
193	0.00193	  518.773	  0.8967
194	0.00194	  516.099	  0.8965
195	0.00195	  513.452	  0.8924
196	0.00196	  510.833	  0.8862
197	0.00197	  508.240	  0.8876
198	0.00198	  505.673	  0.8815
199	0.00199	  503.132	  0.8809
200	0.00200	  500.616	  0.8878
201	0.00201	  498.125	  0.8895
202	0.00202	  495.659	  0.8910
203	0.00203	  493.218	  0.8819
204	0.00204	  490.800	  0.8752
205	0.00205	  488.406	  0.8797
206	0.00206	  486.035	  0.8797
207	0.00207	  483.687	  0.8750
208	0.00208	  481.362	  0.8659
209	0.00209	  479.058	  0.8542
210	0.00210	  476.777	  0.8513
211	0.00211	  474.518	  0.8625
212	0.00212	  472.279	  0.8640
213	0.00213	  470.062	  0.8645
214	0.00214	  467.865	  0.8598
215	0.00215	  465.689	  0.8522
216	0.00216	  463.533	  0.8585
217	0.00217	  461.397	  0.8492
218	0.00218	  459.281	  0.8324
219	0.00219	  457.184	  0.8353
220	0.00220	  455.105	  0.8351
221	0.00221	  453.046	  0.8287
222	0.00222	  451.005	  0.8186
223	0.00223	  448.983	  0.8156
224	0.00224	  446.979	  0.8211
225	0.00225	  444.992	  0.8259
226	0.00226	  443.023	  0.8234
227	0.00227	  441.071	  0.8080
228	0.00228	  439.137	  0.8049
229	0.00229	  437.219	  0.8160
230	0.00230	  435.318	  0.8166
231	0.00231	  433.434	  0.8002
232	0.00232	  431.566	  0.7987
233	0.00233	  429.713	  0.8041
234	0.00234	  427.877	  0.8023
235	0.00235	  426.056	  0.7969
236	0.00236	  424.251	  0.7998
237	0.00237	  422.461	  0.8010
238	0.00238	  420.686	  0.8006
239	0.00239	  418.926	  0.7992
240	0.00240	  417.180	  0.7938
241	0.00241	  415.449	  0.7892
242	0.00242	  413.732	  0.7790
243	0.00243	  412.030	  0.7636
244	0.00244	  410.341	  0.7677
245	0.00245	  408.666	  0.7787
246	0.00246	  407.005	  0.7723
247	0.00247	  405.357	  0.7647
248	0.00248	  403.723	  0.7618
249	0.00249	  402.101	  0.7609
250	0.00250	  400.493	  0.7563
251	0.00251	  398.897	  0.7559
252	0.00252	  397.314	  0.7548
253	0.00253	  395.744	  0.7438
254	0.00254	  394.186	  0.7398
255	0.00255	  392.640	  0.7412
256	0.00256	  391.106	  0.7248
257	0.00257	  389.584	  0.7300
258	0.00258	  388.074	  0.7366
259	0.00259	  386.576	  0.7278
260	0.00260	  385.089	  0.7239
261	0.00261	  383.614	  0.7174
262	0.00262	  382.150	  0.7093
263	0.00263	  380.697	  0.7070
264	0.00264	  379.255	  0.7097
265	0.00265	  377.823	  0.7060
266	0.00266	  376.403	  0.6998
267	0.00267	  374.993	  0.6933
268	0.00268	  373.594	  0.6860
269	0.00269	  372.205	  0.6730
270	0.00270	  370.827	  0.6855
271	0.00271	  369.458	  0.7010
272	0.00272	  368.100	  0.6941
273	0.00273	  366.752	  0.6898
274	0.00274	  365.413	  0.6804
275	0.00275	  364.084	  0.6595
276	0.00276	  362.765	  0.6579
277	0.00277	  361.456	  0.6642
278	0.00278	  360.155	  0.6547
279	0.00279	  358.865	  0.6630
280	0.00280	  357.583	  0.6708
281	0.00281	  356.310	  0.6620
282	0.00282	  355.047	  0.6540
283	0.00283	  353.792	  0.6508
284	0.00284	  352.546	  0.6278
285	0.00285	  351.310	  0.6249
286	0.00286	  350.081	  0.6428
287	0.00287	  348.861	  0.6359
288	0.00288	  347.650	  0.6324
289	0.00289	  346.447	  0.6309
290	0.00290	  345.252	  0.6246
291	0.00291	  344.066	  0.6323
292	0.00292	  342.888	  0.6391
293	0.00293	  341.717	  0.6315
294	0.00294	  340.555	  0.6092
295	0.00295	  339.401	  0.5925
296	0.00296	  338.254	  0.5836
297	0.00297	  337.115	  0.5775
298	0.00298	  335.984	  0.5896
299	0.00299	  334.860	  0.5981
300	0.00300	  333.744	  0.5951
301	0.00301	  332.635	  0.5910
302	0.00302	  331.534	  0.5845
303	0.00303	  330.440	  0.5654
304	0.00304	  329.353	  0.5661
305	0.00305	  328.273	  0.5668
306	0.00306	  327.200	  0.5726
307	0.00307	  326.134	  0.5808
308	0.00308	  325.075	  0.5686
309	0.00309	  324.023	  0.5795
310	0.00310	  322.978	  0.5645
311	0.00311	  321.940	  0.5383
312	0.00312	  320.908	  0.5523
313	0.00313	  319.882	  0.5589
314	0.00314	  318.864	  0.5384
315	0.00315	  317.851	  0.5381
316	0.00316	  316.846	  0.5511
317	0.00317	  315.846	  0.5355
318	0.00318	  314.853	  0.5386
319	0.00319	  313.866	  0.5466
320	0.00320	  312.885	  0.5176
321	0.00321	  311.910	  0.4986
322	0.00322	  310.942	  0.5133
323	0.00323	  309.979	  0.5142
324	0.00324	  309.022	  0.5113
325	0.00325	  308.071	  0.5092
326	0.00326	  307.126	  0.5076
327	0.00327	  306.187	  0.5036
328	0.00328	  305.254	  0.4998
329	0.00329	  304.326	  0.4990
330	0.00330	  303.404	  0.4983
331	0.00331	  302.487	  0.4857
332	0.00332	  301.576	  0.4812
333	0.00333	  300.670	  0.4715
334	0.00334	  299.770	  0.4476
335	0.00335	  298.875	  0.4447
336	0.00336	  297.986	  0.4644
337	0.00337	  297.102	  0.4847
338	0.00338	  296.223	  0.4816
339	0.00339	  295.349	  0.4621
340	0.00340	  294.480	  0.4505
341	0.00341	  293.616	  0.4521
342	0.00342	  292.758	  0.4665
343	0.00343	  291.904	  0.4692
344	0.00344	  291.056	  0.4445
345	0.00345	  290.212	  0.4324
346	0.00346	  289.373	  0.4293
347	0.00347	  288.539	  0.4416
348	0.00348	  287.710	  0.4184
349	0.00349	  286.886	  0.3991
350	0.00350	  286.066	  0.4228
351	0.00351	  285.251	  0.4253
352	0.00352	  284.441	  0.4076
353	0.00353	  283.635	  0.4096
354	0.00354	  282.834	  0.4053
355	0.00355	  282.037	  0.3937
356	0.00356	  281.245	  0.3837
357	0.00357	  280.457	  0.3859
358	0.00358	  279.674	  0.4042
359	0.00359	  278.895	  0.3919
360	0.00360	  278.120	  0.3904
361	0.00361	  277.350	  0.3825
362	0.00362	  276.583	  0.3812
363	0.00363	  275.822	  0.3986
364	0.00364	  275.064	  0.3997
365	0.00365	  274.310	  0.4004
366	0.00366	  273.561	  0.3874
367	0.00367	  272.815	  0.3881
368	0.00368	  272.074	  0.3893
369	0.00369	  271.337	  0.3813
370	0.00370	  270.603	  0.3871
371	0.00371	  269.874	  0.3793
372	0.00372	  269.148	  0.3506
373	0.00373	  268.427	  0.3668
374	0.00374	  267.709	  0.3759
375	0.00375	  266.995	  0.3376
376	0.00376	  266.285	  0.3508
377	0.00377	  265.579	  0.3756
378	0.00378	  264.876	  0.3610
379	0.00379	  264.177	  0.3530
380	0.00380	  263.482	  0.3408
381	0.00381	  262.791	  0.3268
382	0.00382	  262.103	  0.3399
383	0.00383	  261.418	  0.3280
384	0.00384	  260.738	  0.3391
385	0.00385	  260.060	  0.3455
386	0.00386	  259.387	  0.3368
387	0.00387	  258.716	  0.3446
388	0.00388	  258.049	  0.3259
389	0.00389	  257.386	  0.3220
390	0.00390	  256.726	  0.3184
391	0.00391	  256.070	  0.3340
392	0.00392	  255.416	  0.3367
393	0.00393	  254.766	  0.3228
394	0.00394	  254.120	  0.3420
395	0.00395	  253.476	  0.3172
396	0.00396	  252.836	  0.2825
397	0.00397	  252.200	  0.3032
398	0.00398	  251.566	  0.3260
399	0.00399	  250.935	  0.3108
400	0.00400	  250.308	  0.3168
401	0.00401	  249.684	  0.3178
402	0.00402	  249.063	  0.2833
403	0.00403	  248.445	  0.2758
404	0.00404	  247.830	  0.2843
405	0.00405	  247.218	  0.2865
406	0.00406	  246.609	  0.2827
407	0.00406	  246.003	  0.2902
408	0.00407	  245.400	  0.2866
409	0.00408	  244.800	  0.2963
410	0.00409	  244.203	  0.2873
411	0.00410	  243.609	  0.2583
412	0.00411	  243.018	  0.2714
413	0.00412	  242.429	  0.2767
414	0.00413	  241.843	  0.2822
415	0.00414	  241.261	  0.2893
416	0.00415	  240.681	  0.2954
417	0.00416	  240.104	  0.2786
418	0.00417	  239.529	  0.2479
419	0.00418	  238.958	  0.2767
420	0.00419	  238.389	  0.2681
421	0.00420	  237.822	  0.2405
422	0.00421	  237.259	  0.2606
423	0.00422	  236.698	  0.2535
424	0.00423	  236.140	  0.2344
425	0.00424	  235.584	  0.2443
426	0.00425	  235.031	  0.2416
427	0.00426	  234.481	  0.2471
428	0.00427	  233.933	  0.2421
429	0.00428	  233.387	  0.2225
430	0.00429	  232.845	  0.2382
431	0.00430	  232.304	  0.2466
432	0.00431	  231.767	  0.2295
433	0.00432	  231.231	  0.2459
434	0.00433	  230.699	  0.2623
435	0.00434	  230.168	  0.2283
436	0.00435	  229.640	  0.2263
437	0.00436	  229.115	  0.2485
438	0.00437	  228.592	  0.2360
439	0.00438	  228.071	  0.2371
440	0.00439	  227.553	  0.2440
441	0.00440	  227.037	  0.2250
442	0.00441	  226.523	  0.2321
443	0.00442	  226.012	  0.2181
444	0.00443	  225.503	  0.2178
445	0.00444	  224.996	  0.2088
446	0.00445	  224.492	  0.1810
447	0.00446	  223.989	  0.2029
448	0.00447	  223.489	  0.2060
449	0.00448	  222.992	  0.1988
450	0.00449	  222.496	  0.2212
451	0.00450	  222.003	  0.2357
452	0.00451	  221.512	  0.2173
453	0.00452	  221.023	  0.2014
454	0.00453	  220.536	  0.2211
455	0.00454	  220.051	  0.2213
456	0.00455	  219.568	  0.1880
457	0.00456	  219.088	  0.1780
458	0.00457	  218.610	  0.1927
459	0.00458	  218.133	  0.2088
460	0.00459	  217.659	  0.1991
461	0.00460	  217.187	  0.1874
462	0.00461	  216.717	  0.1912
463	0.00462	  216.249	  0.1979
464	0.00463	  215.783	  0.2005
465	0.00464	  215.319	  0.2111
466	0.00465	  214.857	  0.1908
467	0.00466	  214.397	  0.1648
468	0.00467	  213.938	  0.1843
469	0.00468	  213.482	  0.1804
470	0.00469	  213.028	  0.1859
471	0.00470	  212.576	  0.1968
472	0.00471	  212.125	  0.1826
473	0.00472	  211.677	  0.1655
474	0.00473	  211.230	  0.1909
475	0.00474	  210.786	  0.1962
476	0.00475	  210.343	  0.1820
477	0.00476	  209.902	  0.1842
478	0.00477	  209.463	  0.1982
479	0.00478	  209.025	  0.1826
480	0.00479	  208.590	  0.1514
481	0.00480	  208.156	  0.1586
482	0.00481	  207.724	  0.1729
483	0.00482	  207.294	  0.1697
484	0.00483	  206.866	  0.1457
485	0.00484	  206.440	  0.1658
486	0.00485	  206.015	  0.1947
487	0.00486	  205.592	  0.1964
488	0.00487	  205.170	  0.1596
489	0.00488	  204.751	  0.1456
490	0.00489	  204.333	  0.1817
491	0.00490	  203.917	  0.1591
492	0.00491	  203.502	  0.1354
493	0.00492	  203.090	  0.1582
494	0.00493	  202.679	  0.1651
495	0.00494	  202.269	  0.1607
496	0.00495	  201.861	  0.1473
497	0.00496	  201.455	  0.1296
498	0.00497	  201.051	  0.1339
499	0.00498	  200.648	  0.1535
500	0.00499	  200.246	  0.1716
501	0.00500	  199.847	  0.1830
502	0.00501	  199.449	  0.1610
503	0.00502	  199.052	  0.1494
504	0.00503	  198.657	  0.1599
505	0.00504	  198.264	  0.1363
506	0.00505	  197.872	  0.1244
507	0.00506	  197.482	  0.1490
508	0.00507	  197.093	  0.1636
509	0.00508	  196.706	  0.1455
510	0.00509	  196.320	  0.1232
511	0.00510	  195.936	  0.1223
512	0.00511	  195.553	  0.1401
513	0.00512	  195.172	  0.1623
514	0.00513	  194.792	  0.1627
515	0.00514	  194.414	  0.1482
516	0.00515	  194.037	  0.1334
517	0.00516	  193.662	  0.1309
518	0.00517	  193.288	  0.1183
519	0.00518	  192.916	  0.1152
520	0.00519	  192.545	  0.1283
521	0.00520	  192.175	  0.1239
522	0.00521	  191.807	  0.1338
523	0.00522	  191.440	  0.1431
524	0.00523	  191.075	  0.1444
525	0.00524	  190.711	  0.1284
526	0.00525	  190.348	  0.1169
527	0.00526	  189.987	  0.1642
528	0.00527	  189.627	  0.1509
529	0.00528	  189.269	  0.1157
530	0.00529	  188.912	  0.1417
531	0.00530	  188.556	  0.1241
532	0.00531	  188.202	  0.0986
533	0.00532	  187.848	  0.0952
534	0.00533	  187.497	  0.1027
535	0.00534	  187.146	  0.1114
536	0.00535	  186.797	  0.1162
537	0.00536	  186.449	  0.1087
538	0.00537	  186.103	  0.1063
539	0.00538	  185.757	  0.1042
540	0.00539	  185.413	  0.1096
541	0.00540	  185.071	  0.1424
542	0.00541	  184.729	  0.1400
543	0.00542	  184.389	  0.1294
544	0.00543	  184.050	  0.1405
545	0.00544	  183.712	  0.1282
546	0.00545	  183.376	  0.1046
547	0.00546	  183.041	  0.0947
548	0.00547	  182.707	  0.0845
549	0.00548	  182.374	  0.0890
550	0.00549	  182.042	  0.1012
551	0.00550	  181.712	  0.1097
552	0.00551	  181.383	  0.1087
553	0.00552	  181.055	  0.1012
554	0.00553	  180.728	  0.0990
555	0.00554	  180.402	  0.0880
556	0.00555	  180.078	  0.0893
557	0.00556	  179.754	  0.0985
558	0.00557	  179.432	  0.1117
559	0.00558	  179.111	  0.1172
560	0.00559	  178.791	  0.0882
561	0.00560	  178.473	  0.0859
562	0.00561	  178.155	  0.1180
563	0.00562	  177.839	  0.1199
564	0.00563	  177.523	  0.0920
565	0.00564	  177.209	  0.0935
566	0.00565	  176.896	  0.1046
567	0.00566	  176.584	  0.0952
568	0.00567	  176.273	  0.0923
569	0.00568	  175.963	  0.1040
570	0.00569	  175.655	  0.1070
571	0.00570	  175.347	  0.0930
572	0.00571	  175.041	  0.1067
573	0.00572	  174.735	  0.1119
574	0.00573	  174.431	  0.0876
575	0.00574	  174.127	  0.0830
576	0.00575	  173.825	  0.0818
577	0.00576	  173.524	  0.0878
578	0.00577	  173.224	  0.0860
579	0.00578	  172.924	  0.0697
580	0.00579	  172.626	  0.0832
581	0.00580	  172.329	  0.0802
582	0.00581	  172.033	  0.0633
583	0.00582	  171.738	  0.0655
584	0.00583	  171.444	  0.0710
585	0.00584	  171.151	  0.0792
586	0.00585	  170.859	  0.0763
587	0.00586	  170.568	  0.0657
588	0.00587	  170.278	  0.0710
589	0.00588	  169.988	  0.0785
590	0.00589	  169.700	  0.0684
591	0.00590	  169.413	  0.0697
592	0.00591	  169.127	  0.0655
593	0.00592	  168.842	  0.0678
594	0.00593	  168.558	  0.0927
595	0.00594	  168.274	  0.0841
596	0.00595	  167.992	  0.0645
597	0.00596	  167.711	  0.0569
598	0.00597	  167.430	  0.0519
599	0.00598	  167.151	  0.0512
600	0.00599	  166.872	  0.0524
601	0.00600	  166.594	  0.0669
602	0.00601	  166.318	  0.0715
603	0.00602	  166.042	  0.0824
604	0.00603	  165.767	  0.0761
605	0.00604	  165.493	  0.0654
606	0.00605	  165.220	  0.0825
607	0.00606	  164.948	  0.0793
608	0.00607	  164.676	  0.0499
609	0.00608	  164.406	  0.0535
610	0.00609	  164.136	  0.0651
611	0.00610	  163.868	  0.0381
612	0.00611	  163.600	  0.0492
613	0.00612	  163.333	  0.0726
614	0.00613	  163.067	  0.0441
615	0.00614	  162.802	  0.0403
616	0.00615	  162.538	  0.0497
617	0.00616	  162.274	  0.0384
618	0.00617	  162.012	  0.0343
619	0.00618	  161.750	  0.0477
620	0.00619	  161.489	  0.0491
621	0.00620	  161.229	  0.0410
622	0.00621	  160.970	  0.0574
623	0.00622	  160.711	  0.0665
624	0.00623	  160.454	  0.0722
625	0.00624	  160.197	  0.0482
626	0.00625	  159.941	  0.0378
627	0.00626	  159.686	  0.0500
628	0.00627	  159.432	  0.0456
629	0.00628	  159.178	  0.0546
630	0.00629	  158.926	  0.0674
631	0.00630	  158.674	  0.0602
632	0.00631	  158.423	  0.0744
633	0.00632	  158.173	  0.0658
634	0.00633	  157.923	  0.0387
635	0.00634	  157.674	  0.0542
636	0.00635	  157.426	  0.0506
637	0.00636	  157.179	  0.0298
638	0.00637	  156.933	  0.0406
639	0.00638	  156.687	  0.0521
640	0.00639	  156.443	  0.0464
641	0.00640	  156.198	  0.0388
642	0.00641	  155.955	  0.0578
643	0.00642	  155.713	  0.0760
644	0.00643	  155.471	  0.0754
645	0.00644	  155.230	  0.0714
646	0.00645	  154.989	  0.0447
647	0.00646	  154.750	  0.0432
648	0.00647	  154.511	  0.0466
649	0.00648	  154.273	  0.0307
650	0.00649	  154.036	  0.0396
651	0.00650	  153.799	  0.0608
652	0.00651	  153.563	  0.0593
653	0.00652	  153.328	  0.0372
654	0.00653	  153.094	  0.0252
655	0.00654	  152.860	  0.0389
656	0.00655	  152.627	  0.0513
657	0.00656	  152.395	  0.0380
658	0.00657	  152.163	  0.0373
659	0.00658	  151.932	  0.0411
660	0.00659	  151.702	  0.0445
661	0.00660	  151.472	  0.0568
662	0.00661	  151.244	  0.0530
663	0.00662	  151.015	  0.0492
664	0.00663	  150.788	  0.0421
665	0.00664	  150.561	  0.0491
666	0.00665	  150.335	  0.0536
667	0.00666	  150.110	  0.0349
668	0.00667	  149.885	  0.0360
669	0.00668	  149.661	  0.0454
670	0.00669	  149.438	  0.0371
671	0.00670	  149.215	  0.0367
672	0.00671	  148.993	  0.0577
673	0.00672	  148.771	  0.0454
674	0.00673	  148.551	  0.0234
675	0.00674	  148.331	  0.0408
676	0.00675	  148.111	  0.0495
677	0.00676	  147.892	  0.0459
678	0.00677	  147.674	  0.0490
679	0.00678	  147.457	  0.0375
680	0.00679	  147.240	  0.0494
681	0.00680	  147.024	  0.0533
682	0.00681	  146.808	  0.0522
683	0.00682	  146.593	  0.0649
684	0.00683	  146.379	  0.0522
685	0.00684	  146.165	  0.0404
686	0.00685	  145.952	  0.0301
687	0.00686	  145.740	  0.0327
688	0.00687	  145.528	  0.0344
689	0.00688	  145.317	  0.0378
690	0.00689	  145.106	  0.0424
691	0.00690	  144.896	  0.0435
692	0.00691	  144.687	  0.0488
693	0.00692	  144.478	  0.0323
694	0.00693	  144.270	  0.0353
695	0.00694	  144.062	  0.0627
696	0.00695	  143.855	  0.0493
697	0.00696	  143.649	  0.0357
698	0.00697	  143.443	  0.0412
699	0.00698	  143.238	  0.0234
700	0.00699	  143.033	  0.0087
701	0.00700	  142.829	  0.0245
702	0.00701	  142.626	  0.0239
703	0.00702	  142.423	  0.0344
704	0.00703	  142.220	  0.0479
705	0.00704	  142.019	  0.0191
706	0.00705	  141.818	  0.0000
707	0.00706	  141.617	  0.0152
708	0.00707	  141.417	  0.0384
709	0.00708	  141.217	  0.0405
710	0.00709	  141.019	  0.0497
711	0.00710	  140.820	  0.0459
712	0.00711	  140.622	  0.0346
713	0.00712	  140.425	  0.0324
714	0.00713	  140.229	  0.0314
715	0.00714	  140.032	  0.0375
716	0.00715	  139.837	  0.0350
717	0.00716	  139.642	  0.0246
718	0.00717	  139.447	  0.0278
719	0.00718	  139.253	  0.0510
720	0.00719	  139.060	  0.0284
721	0.00720	  138.867	  0.0132
722	0.00721	  138.675	  0.0357
723	0.00722	  138.483	  0.0413
724	0.00723	  138.292	  0.0448
725	0.00724	  138.101	  0.0375
726	0.00725	  137.911	  0.0140
727	0.00726	  137.721	  0.0105
728	0.00727	  137.532	  0.0247
729	0.00728	  137.343	  0.0335
730	0.00729	  137.155	  0.0277
731	0.00730	  136.967	  0.0127
732	0.00731	  136.780	  0.0221
733	0.00732	  136.594	  0.0290
734	0.00733	  136.408	  0.0101
735	0.00734	  136.222	  0.0008
736	0.00735	  136.037	  0.0005
737	0.00736	  135.852	  0.0106
738	0.00737	  135.668	  0.0089
739	0.00738	  135.485	  0.0134
740	0.00739	  135.302	  0.0235
741	0.00740	  135.119	  0.0215
742	0.00741	  134.937	  0.0259
743	0.00742	  134.755	  0.0237
744	0.00743	  134.574	  0.0268
745	0.00744	  134.394	  0.0262
746	0.00745	  134.213	  0.0264
747	0.00746	  134.034	  0.0392
748	0.00747	  133.855	  0.0160
749	0.00748	  133.676	  0.0081
750	0.00749	  133.498	  0.0366
Projection # 6 - Tilt angle: 22.61
Radius	s(1/A)	Res(A)	NLOO2D
0	0.00000	1001232.062	  1.0000
1	0.00001	100123.203	  1.0000
2	0.00002	50061.602	  0.9996
3	0.00003	33374.402	  0.9998
4	0.00004	25030.801	  0.9998
5	0.00005	20024.641	  1.0000
6	0.00006	16687.201	  1.0000
7	0.00007	14303.315	  1.0000
8	0.00008	12515.400	  0.9999
9	0.00009	11124.801	  1.0000
10	0.00010	10012.320	  1.0000
11	0.00011	 9102.109	  1.0000
12	0.00012	 8343.601	  1.0000
13	0.00013	 7701.785	  0.9999
14	0.00014	 7151.658	  0.9998
15	0.00015	 6674.880	  0.9998
16	0.00016	 6257.700	  0.9997
17	0.00017	 5889.600	  0.9998
18	0.00018	 5562.400	  0.9999
19	0.00019	 5269.642	  0.9999
20	0.00020	 5006.160	  0.9998
21	0.00021	 4767.771	  0.9999
22	0.00022	 4551.055	  0.9998
23	0.00023	 4353.183	  0.9997
24	0.00024	 4171.800	  0.9998
25	0.00025	 4004.928	  0.9998
26	0.00026	 3850.893	  0.9999
27	0.00027	 3708.267	  0.9997
28	0.00028	 3575.829	  0.9994
29	0.00029	 3452.524	  0.9996
30	0.00030	 3337.440	  0.9996
31	0.00031	 3229.781	  0.9997
32	0.00032	 3128.850	  0.9997
33	0.00033	 3034.037	  0.9994
34	0.00034	 2944.800	  0.9995
35	0.00035	 2860.663	  0.9995
36	0.00036	 2781.200	  0.9992
37	0.00037	 2706.032	  0.9994
38	0.00038	 2634.821	  0.9993
39	0.00039	 2567.261	  0.9992
40	0.00040	 2503.080	  0.9994
41	0.00041	 2442.029	  0.9994
42	0.00042	 2383.886	  0.9994
43	0.00043	 2328.447	  0.9994
44	0.00044	 2275.527	  0.9992
45	0.00045	 2224.960	  0.9992
46	0.00046	 2176.591	  0.9992
47	0.00047	 2130.281	  0.9992
48	0.00048	 2085.900	  0.9992
49	0.00049	 2043.331	  0.9989
50	0.00050	 2002.464	  0.9991
51	0.00051	 1963.200	  0.9993
52	0.00052	 1925.446	  0.9993
53	0.00053	 1889.117	  0.9992
54	0.00054	 1854.133	  0.9991
55	0.00055	 1820.422	  0.9991
56	0.00056	 1787.914	  0.9988
57	0.00057	 1756.547	  0.9984
58	0.00058	 1726.262	  0.9981
59	0.00059	 1697.003	  0.9980
60	0.00060	 1668.720	  0.9981
61	0.00061	 1641.364	  0.9981
62	0.00062	 1614.890	  0.9981
63	0.00063	 1589.257	  0.9981
64	0.00064	 1564.425	  0.9978
65	0.00065	 1540.357	  0.9977
66	0.00066	 1517.018	  0.9979
67	0.00067	 1494.376	  0.9984
68	0.00068	 1472.400	  0.9980
69	0.00069	 1451.061	  0.9974
70	0.00070	 1430.332	  0.9969
71	0.00071	 1410.186	  0.9970
72	0.00072	 1390.600	  0.9975
73	0.00073	 1371.551	  0.9976
74	0.00074	 1353.016	  0.9975
75	0.00075	 1334.976	  0.9969
76	0.00076	 1317.411	  0.9966
77	0.00077	 1300.301	  0.9970
78	0.00078	 1283.631	  0.9972
79	0.00079	 1267.382	  0.9966
80	0.00080	 1251.540	  0.9960
81	0.00081	 1236.089	  0.9963
82	0.00082	 1221.015	  0.9962
83	0.00083	 1206.304	  0.9958
84	0.00084	 1191.943	  0.9956
85	0.00085	 1177.920	  0.9956
86	0.00086	 1164.223	  0.9956
87	0.00087	 1150.841	  0.9955
88	0.00088	 1137.764	  0.9957
89	0.00089	 1124.980	  0.9955
90	0.00090	 1112.480	  0.9957
91	0.00091	 1100.255	  0.9957
92	0.00092	 1088.296	  0.9956
93	0.00093	 1076.594	  0.9954
94	0.00094	 1065.141	  0.9947
95	0.00095	 1053.928	  0.9943
96	0.00096	 1042.950	  0.9932
97	0.00097	 1032.198	  0.9927
98	0.00098	 1021.665	  0.9934
99	0.00099	 1011.345	  0.9934
100	0.00100	 1001.232	  0.9938
101	0.00101	  991.319	  0.9943
102	0.00102	  981.600	  0.9936
103	0.00103	  972.070	  0.9936
104	0.00104	  962.723	  0.9936
105	0.00105	  953.554	  0.9929
106	0.00106	  944.559	  0.9922
107	0.00107	  935.731	  0.9920
108	0.00108	  927.067	  0.9915
109	0.00109	  918.562	  0.9911
110	0.00110	  910.211	  0.9912
111	0.00111	  902.011	  0.9911
112	0.00112	  893.957	  0.9900
113	0.00113	  886.046	  0.9904
114	0.00114	  878.274	  0.9917
115	0.00115	  870.637	  0.9905
116	0.00116	  863.131	  0.9896
117	0.00117	  855.754	  0.9903
118	0.00118	  848.502	  0.9893
119	0.00119	  841.371	  0.9870
120	0.00120	  834.360	  0.9869
121	0.00121	  827.464	  0.9878
122	0.00122	  820.682	  0.9873
123	0.00123	  814.010	  0.9851
124	0.00124	  807.445	  0.9847
125	0.00125	  800.986	  0.9849
126	0.00126	  794.629	  0.9846
127	0.00127	  788.372	  0.9849
128	0.00128	  782.213	  0.9842
129	0.00129	  776.149	  0.9847
130	0.00130	  770.178	  0.9846
131	0.00131	  764.299	  0.9842
132	0.00132	  758.509	  0.9839
133	0.00133	  752.806	  0.9814
134	0.00134	  747.188	  0.9803
135	0.00135	  741.653	  0.9805
136	0.00136	  736.200	  0.9810
137	0.00137	  730.826	  0.9811
138	0.00138	  725.530	  0.9807
139	0.00139	  720.311	  0.9770
140	0.00140	  715.166	  0.9762
141	0.00141	  710.094	  0.9768
142	0.00142	  705.093	  0.9753
143	0.00143	  700.162	  0.9764
144	0.00144	  695.300	  0.9757
145	0.00145	  690.505	  0.9756
146	0.00146	  685.775	  0.9735
147	0.00147	  681.110	  0.9729
148	0.00148	  676.508	  0.9729
149	0.00149	  671.968	  0.9705
150	0.00150	  667.488	  0.9689
151	0.00151	  663.068	  0.9703
152	0.00152	  658.705	  0.9712
153	0.00153	  654.400	  0.9685
